index,benef,max_duration,max_project_per_employee,model_path_json
0,-413,7,6,solution/medium_instance/model/0.json
1,-411,5,7,solution/medium_instance/model/1.json
2,-406,4,7,solution/medium_instance/model/2.json
3,-380,3,7,solution/medium_instance/model/3.json
4,-265,2,6,solution/medium_instance/model/4.json
5,-30,1,1,solution/medium_instance/model/5.json
6,0,0,0,solution/medium_instance/model/6.json
7,-413,9,5,solution/medium_instance/model/7.json
8,-404,8,4,solution/medium_instance/model/8.json
9,-382,11,3,solution/medium_instance/model/9.json
10,-325,8,2,solution/medium_instance/model/10.json
11,-194,11,1,solution/medium_instance/model/11.json
14,-80,2,1,solution/medium_instance/model/14.json
15,-155,2,2,solution/medium_instance/model/15.json
16,-195,2,3,solution/medium_instance/model/16.json
17,-225,2,4,solution/medium_instance/model/17.json
18,-250,2,5,solution/medium_instance/model/18.json
20,-90,3,1,solution/medium_instance/model/20.json
21,-210,3,2,solution/medium_instance/model/21.json
22,-279,3,3,solution/medium_instance/model/22.json
23,-331,3,4,solution/medium_instance/model/23.json
24,-356,3,5,solution/medium_instance/model/24.json
25,-374,3,6,solution/medium_instance/model/25.json
26,-120,4,1,solution/medium_instance/model/26.json
27,-232,4,2,solution/medium_instance/model/27.json
28,-322,4,3,solution/medium_instance/model/28.json
29,-364,4,4,solution/medium_instance/model/29.json
30,-389,4,5,solution/medium_instance/model/30.json
31,-403,4,6,solution/medium_instance/model/31.json
32,-130,5,1,solution/medium_instance/model/32.json
33,-245,5,2,solution/medium_instance/model/33.json
34,-343,5,3,solution/medium_instance/model/34.json
35,-385,5,4,solution/medium_instance/model/35.json
36,-400,5,5,solution/medium_instance/model/36.json
37,-408,5,6,solution/medium_instance/model/37.json
40,-346,6,3,solution/medium_instance/model/40.json
41,-386,6,4,solution/medium_instance/model/41.json
42,-403,6,5,solution/medium_instance/model/42.json
43,-411,6,6,solution/medium_instance/model/43.json
45,-180,7,1,solution/medium_instance/model/45.json
46,-304,7,2,solution/medium_instance/model/46.json
47,-369,7,3,solution/medium_instance/model/47.json
48,-401,7,4,solution/medium_instance/model/48.json
49,-407,7,5,solution/medium_instance/model/49.json
52,-376,8,3,solution/medium_instance/model/52.json
53,-410,8,5,solution/medium_instance/model/53.json
58,-379,9,3,solution/medium_instance/model/58.json
69,-326,11,2,solution/medium_instance/model/69.json
70,-405,11,4,solution/medium_instance/model/70.json
