index,benef,max_duration,max_project_per_employee,model_path_json
0,-65,1,3,solution/toy_instance/model/0.json
1,-59,0,4,solution/toy_instance/model/1.json
2,-65,2,2,solution/toy_instance/model/2.json
3,-42,2,1,solution/toy_instance/model/3.json
4,0,0,0,solution/toy_instance/model/4.json
5,-20,0,1,solution/toy_instance/model/5.json
6,-37,0,2,solution/toy_instance/model/6.json
7,-49,0,3,solution/toy_instance/model/7.json
8,-30,1,1,solution/toy_instance/model/8.json
9,-55,1,2,solution/toy_instance/model/9.json
